f  [Hz] 	 ZLong real [Ohm]	 ZLong imag [Ohm]	 ZLongSurf real [Ohm]	 ZLongSurf imag [Ohm]	 ZLongDSC real [Ohm]	 ZLongDSC imag [Ohm]	 ZLongISC real [Ohm]	 ZLongISC imag [Ohm]
1.1	4.468639383194509e-09	2.4257026919731403e-14	9.827051260450127e-10	5.334398829827062e-15	-0.0	-6.148689019041215e-06	0.0	5.815677112753048e-06
1.2000000000000002	5.318048415539523e-09	3.149220784842996e-14	1.1694999283585664e-09	6.925498217536527e-15	-0.0	-6.682428528398891e-06	0.0	6.3191428124481635e-06
1.3000000000000003	6.241318465266076e-09	4.003955773168476e-14	1.372537616743596e-09	8.805158629599169e-15	-0.0	-7.214151897749048e-06	0.0	6.820592372135759e-06
1.4000000000000004	7.238449374860619e-09	5.0008422289616605e-14	1.5918181565610628e-09	1.0997426445787293e-14	-0.0	-7.744014534699503e-06	0.0	7.320181199423652e-06
1.5000000000000004	8.309440969038845e-09	6.150814680084898e-14	1.827341509263934e-09	1.3526347948782879e-14	-0.0	-8.272149584243966e-06	0.0	7.818042439305558e-06
1.6000000000000005	9.454293067669847e-09	7.464807615704876e-14	2.0791076352393552e-09	1.6415969336171706e-14	-0.0	-8.798672396122276e-06	0.0	8.314291441521304e-06
1.7000000000000006	1.0673005468409288e-08	8.953755471811134e-14	2.347116489989482e-09	1.9690336688596894e-14	-0.0	-9.323683871119793e-06	0.0	8.809029106856262e-06
1.8000000000000007	1.1965577962046843e-08	1.0628592636952234e-13	2.6313680275065607e-09	2.3373495982373396e-14	-0.0	-9.847273017393733e-06	0.0	9.302344443467641e-06
1.9000000000000008	1.3332010327659624e-08	1.2500253448568374e-13	2.931862199207111e-09	2.748949308142302e-14	-0.0	-1.0369518937063353e-05	0.0	9.7943165534747e-06
2.000000000000001	1.4772302327765651e-08	1.4579672183258697e-13	3.248598952866118e-09	3.206237371587109e-14	-0.0	-1.089049239347997e-05	0.0	1.0285016200228759e-05
2.100000000000001	1.6286453713978113e-08	1.6877783059978505e-13	3.581578233860469e-09	3.7116183489077514e-14	-0.0	-1.1410257064310548e-05	0.0	1.0774507061396776e-05
2.200000000000001	1.787446422458216e-08	1.940552023439712e-13	3.930799984636063e-09	4.267496786522906e-14	-0.0	-1.1928870555435863e-05	0.0	1.1262846742859527e-05
2.300000000000001	1.9536333587765904e-08	2.2173817798897888e-13	4.2962641454183424e-09	4.876277216933935e-14	-0.0	-1.2446385230151685e-05	0.0	1.175008760791279e-05
2.4000000000000012	2.127206151515832e-08	2.5193609771293896e-13	4.677970652791209e-09	5.540364156243346e-14	-0.0	-1.296284889391062e-05	0.0	1.2236277462009165e-05
2.5000000000000013	2.3081647705868105e-08	2.8475830099247645e-13	5.075919440585207e-09	6.262162105126727e-14	-0.0	-1.3478305364758916e-05	0.0	1.2721460123194897e-05
2.6000000000000014	2.4965091848906873e-08	3.2031412656321574e-13	5.490110440410419e-09	7.04407554796421e-14	-0.0	-1.3992794952370337e-05	0.0	1.3205675901143758e-05
